week,average,var,std_dev
2000-01-01 00:00:00 UTC,33.458333333333336,2538.8677536231894,50.387178464597412
2000-01-02 00:00:00 UTC,19.541666666666668,67.476449275362313,8.214404986081604
2000-01-03 00:00:00 UTC,32.875,265.41847826086951,16.291668983283127
2000-01-04 00:00:00 UTC,34,378,19.442222095223581
2000-01-05 00:00:00 UTC,57.458333333333336,1178.6068840579708,34.330844499632846
2000-01-06 00:00:00 UTC,30.958333333333332,151.9547101449275,12.326991122935373
2000-01-07 00:00:00 UTC,34.875,220.02717391304341,14.833312978328321
2000-01-08 00:00:00 UTC,21.583333333333332,121.47101449275362,11.021388954789392
2000-01-09 00:00:00 UTC,26.291666666666668,132.30253623188403,11.502283957192329
2000-01-10 00:00:00 UTC,39,285.82608695652164,16.906391896455069
2000-01-11 00:00:00 UTC,40.416666666666664,304.68840579710144,17.45532600088298
2000-01-12 00:00:00 UTC,41.458333333333336,328.69384057971018,18.129915625278297
2000-01-13 00:00:00 UTC,38.833333333333336,345.01449275362324,18.574565748722719
2000-01-14 00:00:00 UTC,37.875,196.02717391304353,14.000970463258735
2000-01-15 00:00:00 UTC,22.25,91.065217391304344,9.542809722052743
2000-01-16 00:00:00 UTC,20.458333333333332,70.085144927536263,8.371687101626307
2000-01-17 00:00:00 UTC,42.625,183.46195652173915,13.544812900949911
2000-01-18 00:00:00 UTC,40.583333333333336,168.51449275362316,12.9813132137555
2000-01-19 00:00:00 UTC,39.375,159.11413043478262,12.614044967209473
2000-01-20 00:00:00 UTC,32.583333333333336,170.9492753623189,13.07475718177278
2000-01-21 00:00:00 UTC,31.791666666666668,292.08514492753619,17.090498674045065
2000-01-22 00:00:00 UTC,23.916666666666668,177.21014492753625,13.312030082881282
2000-01-23 00:00:00 UTC,29.375,230.33152173913049,15.176676900399853
2000-01-24 00:00:00 UTC,45.208333333333336,278.60688405797106,16.691521322455035
2000-01-25 00:00:00 UTC,44.333333333333336,377.53623188405788,19.430291605739164
2000-01-26 00:00:00 UTC,38.666666666666664,202.927536231884,14.245263642063071
2000-01-27 00:00:00 UTC,37.375,158.15760869565216,12.576072864596966
2000-01-28 00:00:00 UTC,39.916666666666664,412.68840579710144,20.314733712187849
2000-01-29 00:00:00 UTC,31.625,209.02717391304347,14.457772093688691
2000-01-30 00:00:00 UTC,24.041666666666668,137.86775362318843,11.741709995702859
2000-01-31 00:00:00 UTC,37.583333333333336,465.55797101449281,21.576792417189651
2000-02-01 00:00:00 UTC,35.708333333333336,266.73731884057975,16.332094747477427
2000-02-02 00:00:00 UTC,39.083333333333336,325.12318840579707,18.031172685263627
2000-02-03 00:00:00 UTC,33.25,180.97826086956522,13.452816094393219
2000-02-04 00:00:00 UTC,34.416666666666664,325.73188405797094,18.048043773716056
2000-02-05 00:00:00 UTC,20.25,99.760869565217391,9.9880363217810437
2000-02-06 00:00:00 UTC,21.416666666666668,183.21014492753625,13.535514209941795
2000-02-07 00:00:00 UTC,35.833333333333336,220.92753623188409,14.86363132723239
2000-02-08 00:00:00 UTC,40.458333333333336,252.43297101449272,15.88813931882814
2000-02-09 00:00:00 UTC,37.25,297.41304347826076,17.24566738280258
2000-02-10 00:00:00 UTC,41.708333333333336,449.25905797101439,21.195732069711919
2000-02-11 00:00:00 UTC,47,1105.8260869565217,33.253963477404042
2000-02-12 00:00:00 UTC,30.583333333333332,256.77536231884062,16.024211753432386
2000-02-13 00:00:00 UTC,22.333333333333332,129.53623188405797,11.381398502998564
2000-02-14 00:00:00 UTC,34.5,537.04347826086951,23.174198546246849
2000-02-15 00:00:00 UTC,39.583333333333336,301.73188405797094,17.370431314678715
2000-02-16 00:00:00 UTC,44.375,423.37500000000011,20.576078343552254
2000-02-17 00:00:00 UTC,44.375,447.80978260869568,21.161516547938991
2000-02-18 00:00:00 UTC,35.875,371.76630434782612,19.281242292648731
2000-02-19 00:00:00 UTC,27.166666666666668,362.23188405797106,19.032390392643038
2000-02-20 00:00:00 UTC,27.583333333333332,189.99275362318841,13.783785895870134
2000-02-21 00:00:00 UTC,42.833333333333336,284.57971014492756,16.86949051231031
2000-02-22 00:00:00 UTC,51.416666666666664,943.21014492753625,30.711726505156566
2000-02-23 00:00:00 UTC,48.125,303.59239130434781,17.4239028723288
2000-02-24 00:00:00 UTC,54.833333333333336,483.27536231884051,21.983524792872515
2000-02-25 00:00:00 UTC,41.958333333333336,455.43297101449269,21.3408755915612
2000-02-26 00:00:00 UTC,33.041666666666664,284.38949275362319,16.8638516583141
2000-02-27 00:00:00 UTC,32.958333333333336,466.91123188405794,21.608128838102989
2000-02-28 00:00:00 UTC,51.958333333333336,588.73731884057986,24.263909801196093
2000-02-29 00:00:00 UTC,49.083333333333336,201.47101449275362,14.194048558912064
2000-03-01 00:00:00 UTC,45.708333333333336,536.73731884057963,23.167591994866012
2000-03-02 00:00:00 UTC,41.916666666666664,292.86231884057963,17.113220586452442
2000-03-03 00:00:00 UTC,35.333333333333336,196.231884057971,14.008279125501854
2000-03-04 00:00:00 UTC,26.166666666666668,155.97101449275362,12.488835593951649
2000-03-05 00:00:00 UTC,30.583333333333332,340.94927536231876,18.464811814971707
2000-03-06 00:00:00 UTC,38.166666666666664,570.40579710144925,23.88316974569015
2000-03-07 00:00:00 UTC,38.25,339.93478260869568,18.437320374954048
2000-03-08 00:00:00 UTC,48.333333333333336,498.40579710144937,22.325003854455421
2000-03-09 00:00:00 UTC,45.083333333333336,382.77536231884056,19.564645724337574
2000-03-10 00:00:00 UTC,44.375,402.679347826087,20.066871899379009
